Kanye West, ‘Stronger’
Pete Rock and CL Smooth, ‘They Reminisce Over You’
Queen and David Bowie, ‘Under Pressure’
Harry Styles, ‘Sign of the Times’
Sugar Hill Gang, ‘Rapper’s Delight’
Nicki Minaj, ‘Super Bass’
Muddy Waters, ‘Mannish Boy’
Blackstreet feat. Dr. Dre and Queen Pen, ‘No Diggity’
Fiona Apple, ‘Criminal’
Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage, ‘Flava in Ya Ear (Remix)’
The Smiths, ‘How Soon Is Now?’
The Mamas and the Papas, ‘California Dreamin’ ‘
Mariah Carey, ‘Fantasy’
Booker T. and the MGs, ‘Green Onions’
Mark Ronson feat. Bruno Mars, ‘Uptown Funk’
Pearl Jam, ‘Alive’
Depeche Mode, ‘Enjoy the Silence’
Blondie, ‘Dreaming’
Them, ‘Gloria’
Neneh Cherry, ‘Buffalo Stance’
Wilco, ‘Heavy Metal Drummer’
Allman Brothers Band, ‘Whipping Post’
Foo Fighters, ‘Everlong’
Cat Stevens/Yusuf, ‘Father and Son’
Lynyrd Skynyrd, ‘Free Bird’
Run-DMC, ‘Sucker MC’s’
Selena, ‘Amor Prohibido’
Kiss, ‘Rock and Roll All Nite’
Rufus and Chaka Khan, ‘Ain’t Nobody’
Bill Withers, ‘Lovely Day’
Fleetwood Mac, ‘Go Your Own Way’
David Bowie, ‘Station to Station’
Sylvester, ‘You Make Me Feel (Mighty Real)’
Duran Duran, ‘Hungry Like the Wolf’
Public Enemy, ‘Bring the Noise’
Elvis Costello, ‘Alison’
Afrika Bambaataa and the Soulsonic Force, ‘Planet Rock’
Jeff Buckley, ‘Grace’
James Brown, ‘Say It Loud (I’m Black and I’m Proud)’
Coldplay, ‘Fix You’
Eric Church, ‘Springsteen’
Metallica, ‘Enter Sandman’
Pretenders, ‘Brass in Pocket’
DMX, ‘Party Up (Up in Here)’
New York Dolls, ‘Personality Crisis’
The Kinks, ‘Lola’
Diana Ross, ‘I’m Coming Out’
Cardi B, J Balvin, and Bad Bunny, ‘I Like It’
Childish Gambino, ‘Redbone’
Fiona Apple, ‘Paper Bag’
The Slits, ‘Typical Girls’
Fountains of Wayne, ‘Radiation Vibe’
D’Angelo, ‘Untitled (How Does It Feel)’
The Killers, ‘Mr. Brightside’
The Cure, ‘Pictures of You’
Merle Haggard, ‘Mama Tried’
The Drifters, ‘Up on the Roof’
William DeVaughn, ‘Be Thankful for What You Got’
Drake, ‘Hotline Bling’
Bonnie Raitt, ‘I Can’t Make You Love Me’
Elton John, ‘Bennie and the Jets’
Buddy Holly, ‘Peggy Sue’
The Cars, ‘Just What I Needed’
Soundgarden, ‘Black Hole Sun’
Frank Ocean, ‘Thinkin Bout You’
The Crystals, ‘Da Doo Ron Ron’
Sex Pistols, ‘God Save the Queen’
The Grateful Dead, ‘Box of Rain’
Bob Marley and the Wailers, ‘Could You Be Loved’
Kacey Musgraves, ‘Merry Go ‘Round’
Jimmy Cliff, ‘The Harder They Come’
Prince, ‘Little Red Corvette’
Fugees, ‘Killing Me Softly With His Song’
Patti Smith, ‘Because the Night’
Taylor Swift, ‘Blank Space’
Cheap Trick, ‘Surrender’
Thelma Houston, ‘Don’t Leave Me This Way’
Michael Jackson, ‘Rock With You’
Eurythmics, ‘Sweet Dreams (Are Made of This)’
Ice Cube, ‘It Was a Good Day’
Jorge Ben, ‘Ponta de Lança Africano (Umbabarauma)’
John Prine, ‘Angel From Montgomery’
The Zombies, ‘Time of the Season’
Roxy Music, ‘Virginia Plain’
Elvis Presley, ‘Heartbreak Hotel’
BTS, ‘Dynamite’
Carole King, ‘It’s Too Late’
Black Sabbath, ‘Iron Man’
The Doobie Brothers, ‘What a Fool Believes’
Chuck Berry, ‘Promised Land’
The Monkees, ‘I’m a Believer’
The Clash, ‘(White Man) in Hammersmith Palais’
Prince, ‘1999’
Black Sabbath, ‘Paranoid’
Cher, ‘Believe’
Hall and Oates, ‘She’s Gone’
Marshall Jefferson, ‘Move Your Body (The House Music Anthem)’
The Grateful Dead, ‘Ripple’
The Temptations, ‘Papa Was a Rollin’ Stone’
Rihanna feat. Jay-Z, ‘Umbrella’
The Marvelettes, ‘Please Mr. Postman’
The Notorious B.I.G., ‘Big Poppa’
Bad Bunny, ‘Safaera’
Red Hot Chili Peppers, ‘Under the Bridge’
Mary J. Blige, ‘Real Love’
Rilo Kiley, ‘Portions for Foxes’
Iggy Pop, ‘Lust for Life’
Billy Joel, ‘Scenes From an Italian Restaurant’
Everly Brothers, ‘All I Have to Do Is Dream’
Neil Young, ‘After the Gold Rush’
U2, ‘I Still Haven’t Found What I’m Looking For’
2Pac, ‘California Love’
Tears for Fears, ‘Everybody Wants to Rule the World’
Big Mama Thornton, ‘Hound Dog’
Bob Dylan, ‘Visions of Johanna’
The Shangri-Las, ‘Leader of the Pack’
John Coltrane, ‘Pt. 1-Acknowledgement’
The Stooges, ‘I Wanna Be Your Dog’
Smokey Robinson and the Miracles, ‘The Tears of a Clown’
Isaac Hayes, ‘Walk on By’
The Eagles, ‘Hotel California’
The Doors, ‘Light My Fire’
Bill Withers, ‘Ain’t No Sunshine’
Liz Phair, ‘Divorce Song’
Gnarls Barkley, ‘Crazy’
Aretha Franklin, ‘Chain of Fools’
The Police, ‘Every Breath You Take’
Kraftwerk, ‘Trans-Europe Express’
TLC, ‘No Scrubs’
Pink Floyd, ‘Wish You Were Here’
Bob Seger, ‘Night Moves’
The B-52’s, ‘Rock Lobster’
Screamin’ Jay Hawkins, ‘I Put a Spell on You’
Bruce Springsteen, ‘Jungleland’
Beach Boys, ‘Wouldn’t It Be Nice’
Bikini Kill, ‘Rebel Girl’
The Who, ‘Won’t Get Fooled Again’
The Velvet Underground, ‘Sweet Jane’
Alice Cooper, ‘School’s Out’
A Tribe Called Quest, ‘Can I Kick It?’
Phil Collins, ‘In the Air Tonight’
Usher feat. Lil Jon and Ludacris, ‘Yeah!’
Bruce Springsteen, ‘Atlantic City’
The Funky 4 + 1, ‘That’s the Joint’
AC/DC, ‘You Shook Me All Night Long’
ABBA, ‘Dancing Queen’
Destiny’s Child, ‘Say My Name’
Leonard Cohen, ‘Suzanne’
Ray Charles, ‘Georgia on My Mind’
INXS, ‘Never Tear Us Apart’
Clipse, ‘Grindin”
The Beatles, ‘Penny Lane’
Radiohead, ‘Karma Police’
Toots and the Maytals, ‘Pressure Drop’
Bo Diddley, ‘Bo Diddley’
Buzzcocks, ‘Ever Fallen in Love (With Someone You Shouldn’t’ve)’
Randy Newman, ‘Sail Away’
Al Green, ‘Love and Happiness’
Roberta Flack, ‘Killing Me Softly With His Song’
Thin Lizzy, ‘The Boys Are Back in Town’
Procol Harum, ‘A Whiter Shade of Pale’
Nine Inch Nails, ‘Closer’
The Righteous Brothers, ‘Unchained Melody’
The Isley Brothers, ‘Shout (Parts 1 and 2)’
Drake feat. Rihanna, ‘Take Care’
Augustus Pablo, ‘King Tubby Meets the Rockers Uptown’
The Replacements, ‘Left of the Dial’
Marvin Gaye, ‘Let’s Get It On’
Dolly Parton, ‘Coat of Many Colors’
Paul Simon, ‘American Tune’
Curtis Mayfield, ‘Pusherman’
The Wailers, ‘Get Up, Stand Up’
Neil Young, ‘Heart of Gold’
Gil-Scott Heron, ‘The Revolution Will Not Be Televised’
Martha Reeves and the Vandellas, ‘Heat Wave’
Metallica, ‘Master of Puppets’
Loretta Lynn, ‘Coal Miner’s Daughter’
The Supremes, ‘Stop! In the Name of Love’
Willie Nelson, ‘Blue Eyes Crying in the Rain’
Parliament, ‘Flash Light’
Gloria Gaynor, ‘I Will Survive’
The Jimi Hendrix Experience, ‘Purple Haze’
Joan Jett, ‘Bad Reputation’
N.W.A, ‘Straight Outta Compton’
Joni Mitchell, ‘River’
Faces, ‘Ooh La La’
Beastie Boys, ‘Sabotage’
Pavement, ‘Summer Babe (Winter Version)’
The Beatles, ‘Eleanor Rigby’
Jerry Lee Lewis, ‘Great Balls of Fire’
Digital Underground, ‘The Humpty Dance’
Backstreet Boys, ‘I Want It That Way’
Big Star, ‘September Gurls’
Aaliyah, ‘Are You That Somebody?’
Hank Williams, ‘Your Cheatin’ Heart’
Bill Withers, ‘Lean on Me’
New Order, ‘Blue Monday’
The Supremes, ‘You Keep Me Hangin’ On’
Deee-Lite, ‘Groove Is in the Heart’
The Who, ‘My Generation’
Whitney Houston, ‘I Wanna Dance With Somebody (Who Loves Me)’
The Byrds, ‘Mr. Tambourine Man’
Woody Guthrie, ‘This Land Is Your Land’
Beyoncé, ‘Single Ladies (Put a Ring On It)’
Creedence Clearwater Revival, ‘Fortunate Son’
The Smiths, ‘There Is a Light That Never Goes Out’
Joni Mitchell, ‘Both Sides Now’
Derek and the Dominos, ‘Layla’
Eminem feat. Dido, ‘Stan’
Crosby, Stills, and Nash, ‘Suite: Judy Blue Eyes’
Ike and Tina Turner, ‘River Deep, Mountain High’
New Order, ‘Bizarre Love Triangle’
Tom Petty, ‘Free Fallin”
Wilson Pickett, ‘In the Midnight Hour’
Stevie Nicks, ‘Edge of Seventeen’
Elvis Presley, ‘Jailhouse Rock’
Mobb Deep, ‘Shook Ones, Pt. II’
Steely Dan, ‘Deacon Blues’
The Rolling Stones, ‘Paint It, Black’
Boston, ‘More Than a Feeling’
U2, ‘With or Without You’
Funkadelic, ‘One Nation Under a Groove’
Don Henley, ‘Boys of Summer’
Hole, ‘Doll Parts’
Rage Against the Machine, ‘Killing in the Name’
Glen Campbell, ‘Wichita Lineman’
Britney Spears, ‘…Baby One More Time’
David Bowie, ‘Young Americans’
Stevie Wonder, ‘Signed, Sealed, Delivered I’m Yours’
Elton John, ‘Your Song’
Johnny Cash, ‘Ring of Fire’
David Bowie, ‘Changes’
Aerosmith, ‘Dream On’
Marvin Gaye, ‘Sexual Healing’
Ann Peebles, ‘I Can’t Stand the Rain’
James Brown, ‘Get Up (I Feel Like Being A) Sex Machine’
Patsy Cline, ‘Crazy’
PJ Harvey, ‘Rid of Me’
The Rolling Stones, ‘Wild Horses’
Geto Boys, ‘Mind Playing Tricks on Me’
Bobbie Gentry, ‘Ode to Billie Joe’
N.W.A, ‘Fuck tha Police’
David Bowie, ‘Space Oddity’
The Jimi Hendrix Experience, ‘Little Wing’
Bob Dylan, ‘Subterranean Homesick Blues’
The Staple Singers, ‘I’ll Take You There’
Michael Jackson, ‘Beat It’
Sinéad O’Connor, ‘Nothing Compares 2 U’
Stevie Wonder, ‘You Are the Sunshine of My Life’
Simon and Garfunkel, ‘The Sounds of Silence’
The Byrds, ‘Eight Miles High’
Lou Reed, ‘Walk on the Wild Side’
Pink Floyd, ‘Comfortably Numb’
Billie Eilish, ‘Bad Guy’
Van Halen, ‘Jump’
The Kinks, ‘You Really Got Me’
The Flamingos, ‘I Only Have Eyes for You’
R.E.M., ‘Radio Free Europe’
Television, ‘Marquee Moon’
Nina Simone, ‘Mississippi Goddam’
Louis Armstrong, ‘What a Wonderful World’
The Five Satins, ‘In the Still of the Night’
Tom Petty and the Heartbreakers, ‘American Girl’
Dusty Springfield, ‘Son of a Preacher Man’
Eminem, ‘Lose Yourself’
Mott the Hoople, ‘All the Young Dudes’
Hank Williams, ‘I’m So Lonesome I Could Cry’
Bob Dylan, ‘Mr. Tambourine Man’
Fleetwood Mac, ‘Landslide’
Nick Drake, ‘Pink Moon’
Madonna, ‘Into the Groove’
R.E.M., ‘Nightswimming’
The Who, ‘Baba O’Riley’
The Meters, ‘Cissy Strut’
Sonic Youth, ‘Teenage Riot’
The Kingsmen, ‘Louie Louie’
The Strokes, ‘Last Nite’
Howlin’ Wolf, ‘Spoonful’
Rick James, ‘Super Freak’
Creedence Clearwater Revival, ‘Proud Mary’
The Shirelles, ‘Will You Love Me Tomorrow’
Green Day, ‘Basket Case’
Elton John, ‘Rocket Man’
Led Zeppelin, ‘Kashmir’
Fats Domino, ‘Blueberry Hill’
James Taylor, ‘Fire and Rain’
Outkast, ‘Ms. Jackson’
The Rolling Stones, ‘Jumpin’ Jack Flash’
The Clash, ‘London Calling’
George Jones, ‘He Stopped Loving Her Today’
Rod Stewart, ‘Maggie May’
Bob Marley and the Wailers, ‘No Woman No Cry’
Madonna, ‘Vogue’
Blondie, ‘Heart of Glass’
Ariana Grande, ‘Thank U, Next’
Otis Redding, ‘Try a Little Tenderness’
The Beatles, ‘She Loves You’
Tina Turner, ‘What’s Love Got to Do With It’
Journey, ‘Don’t Stop Believin’’
Eric B. and Rakim, ‘Paid in Full’
Ben E. King, ‘Stand by Me’
Martha and the Vandellas, ‘Dancing in the Street’
Drake feat. Majid Jordan, ‘Hold On, We’re Going Home’
Led Zeppelin, ‘Whole Lotta Love’
TLC, ‘Waterfalls’
George Michael, ‘Freedom! ’90’
Sex Pistols, ‘Anarchy in the U.K.’
Buddy Holly, ‘That’ll Be the Day’
Talking Heads, ‘This Must Be the Place (Naive Melody)’
The Impressions, ‘People Get Ready’
The Beatles, ‘Let It Be’
X-Ray Spex, ‘Oh Bondage! Up Yours!’
Marvin Gaye, ‘I Heard It Through the Grapevine’
Radiohead, ‘Creep’
Aretha Franklin, ‘I Say a Little Prayer’
Rob Base and DJ E-Z Rock, ‘It Takes Two’
Etta James, ‘At Last’
Britney Spears, ‘Toxic’
Stevie Wonder, ‘Higher Ground’
R.E.M., ‘Losing My Religion’
Bruce Springsteen, ‘Thunder Road’
The Beatles, ‘Something’
Sly and the Family Stone, ‘Everyday People’
The Cure, ‘Just Like Heaven’
Wu-Tang Clan, ‘C.R.E.A.M.’
The Rolling Stones, ‘Sympathy for the Devil’
David Bowie, ‘Life on Mars?’
The Jackson 5, ‘I Want You Back’
Alanis Morissette, ‘You Oughta Know’
Chuck Berry, ‘Maybelline’
Yeah Yeah Yeahs, ‘Maps’
Bob Dylan, ‘Blowin’ in the Wind’
Bee Gees, ‘Stayin’ Alive’
The Beatles, ‘In My Life’
Patti Smith, ‘Gloria’
Jay-Z, ’99 Problems’
Oasis, ‘Wonderwall’
Whitney Houston, ‘I Will Always Love You’
Kelly Clarkson, ‘Since U Been Gone’
Little Richard, ‘Good Golly, Miss Molly’
UGK feat. Outkast, ‘Int’l Players Anthem (I Choose You)’
Aretha Franklin, ‘(You Make Me Feel Like) A Natural Woman’
The Beatles, ‘Hey Jude’
Guns N’ Roses, ‘Sweet Child O’ Mine’
LCD Soundsystem, ‘All My Friends’
The Rolling Stones, ‘Tumbling Dice’
Prince, ‘Kiss’
Al Green, ‘Let’s Stay Together’
Bob Dylan, ‘Desolation Row’
Adele, ‘Rolling in the Deep’
The Velvet Underground, ‘I’m Waiting for the Man’
Ray Charles, ‘What’d I Say’
Amy Winehouse, ‘Back to Black’
The Four Tops, ‘Reach Out (I’ll Be There)’
The Modern Lovers, ‘Roadrunner’
Johnny Cash, ‘I Walk the Line’
Pulp, ‘Common People’
Leonard Cohen, ‘Hallelujah’
Beyoncé, ‘Formation’
The Beatles, ‘Yesterday’
Tracy Chapman, ‘Fast Car’
Elvis Presley, ‘Suspicious Minds’
Taylor Swift, ‘All Too Well’
Chic, ‘Good Times’
Bob Dylan, ‘Tangled Up in Blue’
Simon and Garfunkel, ‘Bridge Over Troubled Water’
Earth, Wind, and Fire, ‘September’
Ramones, ‘Blitzkrieg Bop’
Dolly Parton, ‘Jolene’
U2, ‘One’
Led Zeppelin, ‘Stairway to Heaven’
Kate Bush, ‘Running Up That Hill’
Grandmaster Flash and the Furious Five, ‘The Message’
The Band, ‘The Weight’
Sly and the Family Stone, ‘Family Affair’
Missy Elliott, ‘Work It’
Madonna, ‘Like a Prayer’
Smokey Robinson and the Miracles, ‘The Tracks of My Tears’
The Beach Boys, ‘Good Vibrations’
Donna Summer, ‘I Feel Love’
Dionne Warwick, ‘Walk on By’
Daddy Yankee, ‘Gasolina’
Lauryn Hill, ‘Doo Wop (That Thing)’
Radiohead, ‘Idioteque’
Elton John, ‘Tiny Dancer’
M.I.A., ‘Paper Planes’
Kendrick Lamar, ‘Alright’
Michael Jackson, ‘Billie Jean’
The Temptations, ‘My Girl’
Bob Marley and the Wailers, ‘Redemption Song’
Joy Division, ‘Love Will Tear Us Apart’
The Jimi Hendrix Experience, ‘All Along the Watchtower’
Outkast, ‘B.O.B.’
Otis Redding, ‘(Sittin’ On) the Dock of the Bay’
Prince and the Revolution, ‘When Doves Cry’
The White Stripes, ‘Seven Nation Army’
Little Richard, ‘Tutti-Frutti’
James Brown, ‘Papa’s Got a Brand New Bag’
Chuck Berry, ‘Johnny B. Goode’
Notorious B.I.G., ‘Juicy’
The Rolling Stones, ‘(I Can’t Get No) Satisfaction’
Lorde, ‘Royals’
Dr. Dre feat. Snoop Doggy Dogg, ‘Nuthin’ but a ‘G’ Thang’
Talking Heads, ‘Once in a Lifetime’
Bruce Springsteen, ‘Born to Run’
Joni Mitchell, ‘A Case of You’
Kanye West feat. Pusha T, ‘Runaway’
The Beatles, ‘A Day in the Life’
David Bowie, ‘Heroes’
The Ronettes, ‘Be My Baby’
Billie Holiday, ‘Strange Fruit’
Robyn, ‘Dancing on My Own’
John Lennon, ‘Imagine’
Prince and the Revolution, ‘Purple Rain’
Queen, ‘Bohemian Rhapsody’
Beyoncé feat. Jay-Z, ‘Crazy in Love’
The Beatles, ‘I Want to Hold Your Hand’
The Kinks, ‘Waterloo Sunset’
The Rolling Stones, ‘Gimme Shelter’
Stevie Wonder, ‘Superstition’
The Beach Boys, ‘God Only Knows’
Outkast, ‘Hey Ya!’
Fleetwood Mac, ‘Dreams’
Missy Elliott, ‘Get Ur Freak On’
The Beatles, ‘Strawberry Fields Forever’
Marvin Gaye, ‘What’s Going On’
Nirvana, ‘Smells Like Teen Spirit’
Bob Dylan, ‘Like a Rolling Stone’
Sam Cooke, ‘A Change Is Gonna Come’
Public Enemy, ‘Fight the Power’
Aretha Franklin, ‘Respect’
